Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Limits,Zip Code,Introduced by Council Member(s),Biographical Information,Notes
POINT (-73.83464498199999 40.687499983000066),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Queens,Allama Iqbal Avenue,,At the intersection of 109th Street and 101st Avenue,11419,Adams,"Allama Iqbal was a writer, philosopher and politician who is widely revered in the Asian subcontinent. He was a scholar, politician, lawyer, and well-known poet whose poetry in the Urdu language is among the greatest in the world. He is commonly referred",
POINT (-74.15889590399996 40.609559224000066),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Staten Island,NYPD Detective Christopher B. McDonnell Way,,At the intersection of Jennifer Place and Morani Street,10314,Carr,Christopher B. McDonnell served with the NYPD for 29 years and was assigned to the Intelligence Bureau. He died from complications of COVID-19 in a presumed exposure while on duty.,
POINT (-73.85127419999998 40.87280823700007),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Bronx,Annie Mae Calhoun Way,,At the intersection of Givan Avenue and Pearsall Avenue,10469,Riley,"Annie Mae Calhoun was born in Greenville, North Carolina and later moved to New York to further her education in nutrition. She attended New York University where she received her Master's Degree and worked at Kings County Hospital as a Nutritionist for",
POINT (-73.84579609799994 40.78488186100003),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Queens,Fred J. Mazzarello Way,,At the intersection of 14th Road and College Point Boulevard,11356,Avella,"Fred J. Mazzarello was 82 at the time of his death.  Mr. Mazzarello was a long time community activist and founded the College Point Board of Trade in 1969, and served as its President for many years.  He also served as Chairman of the College Point Memo",
POINT (-73.91359898899998 40.81953257500004),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Bronx,El Condado de la Salsa Way,,At the intersection of 155th Street and Third Avenue,10455,"Salamanca, Jr.","The Bronx is also known as El Condado de la Salsa. When you talk to old school salsa aficionados, they will fondly talk about Fania, a record label that made Afro-Cubanbased dance music a worldwide phenomenon. This was embodied at the August 24, 1973, Fa",
POINT (-73.86104202499996 40.817268021000075),Int. No. 1613,06/24/2017,2017,2017/110,Intersection,Bronx,Elzina L. Dunn Brown Way,,At the intersection of Thieriot Avenue and Randall Avenue,10473,Palma,"Elzina L. Dunn Brown was an NYPD school crossing guard who gave her life defending her daughter from an abusive boyfriend.  Diamond Dunn, Elzina’s daughter, and her boyfriend Raymond Mayrant were arguing in the apartment when Mayrant pulled out a gun.",
POINT (-73.86165061699995 40.87753245400006),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Bronx,Celia Brown Lane,,At the intersection of Barnes Avenue and East 211th Street,10467,Riley,Celia Brown had been diagnosed with a mental health condition and throughout her time receiving psychiatric care she identified disparities and disconnects in care. She was instrumental in developing the first peer specialist civil service title in the c,
POINT (-74.02415159799995 40.625779790000024),Int. No. 1045-A,07/01/2013,2013,2013/050,Intersection,Brooklyn,Charles Ahl Way,,At the intersection of 80th Street and Fifth Avenue,11209,Gentile,"Charles Ahl was Community Board 10’s first chairman, having been appointed in 1977 when the current community board system was designated in the City Charter, where he served in various capacities until 1986.  He served in World War II and later owned",
POINT (-73.89541797099997 40.74642643200008),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Little Manila Avenue,,At the southwest corner of 70th Street and Roosevelt Avenue,11377,Van Bramer,"For the Filipino community of the greater New York City area, Little Manila is their home away from home: a dynamic portal in which members of the Filipino community maintain their connections to their loved ones both locally and internationally. The beg",
POINT (-74.14799941399997 40.56188657200005),Int. No. 746-A,12/29/2005,2005,2005/131,Intersection,Staten Island,Edward “Iron Man” Holder Avenue,,NE corner of Corbin Avenue and Barlow Avenue,10308,Lanza,"Edward Holder is on in a long line of family members who chose to become an iron worker.  Eddie, as well as other of his family members, volunteered their services after the September 11th World Trade Center disaster to work untold hours cutting through",
POINT (-73.78595365099994 40.84582729500005),Int. No. 613,05/09/2005,2005,2005/043,Intersection,Bronx,Police Officer Pasquale Venturelli Corner,,Corner of City Island Avenue and Carroll Street,10464,Provenzano,"Pasquale Venturelli was an outdoorsman.  He enjoyed hunting, archery and boating.  He had a Boston Whaler and used to fish off City Island.  He joined the NYC Police department in 1938 and lived the job like a true professional.  He was a dedicated polic",
POINT (-73.94721097899998 40.68579518700005),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Brooklyn,SGT Firefighter Shawn E. Powell Way,,At the intersection of Monroe Street and Marcy Avenue,11216,Ossé,Shawn E. Powell was a firefighter and a United States Army Reservist. He was killed in the 9/11 attacks at the World Trade Center.,
POINT (-73.81828074099997 40.607881028000065),Int. No. 1744,12/01/2017,2017,2017/237,Intersection,Queens,Chief Christian Hoobs Way,,At the northeast corner of Church Road and Noel Road,11693,Ulrich,"Christian Hoobs dedicated  his life to the Broad Channel community as an activist, local business owner and operator.  He voluntarily helped build both the Broad Channel Volunteer Fire Department (BCVFD) and St. Virgilius Church buildings, that both stro",
POINT (-73.98314724399995 40.626945625000076),Int. No. 590-A,07/11/2011,2011,2011/047,Intersection,Brooklyn,Rabbi Zvi Florence Way,,At the northeast corner of 52nd Street and Old New Utrecht Road,11204,Greenfield,"Rabbi Zvi Florence was on the Community Board 12 for many years and was dedicated to providing entertainment and arts to the Borough Park community.  He helped organize the Annual Purim Parade, the Choel Hamoed Festival and the Succathon in Borough Par",
POINT (-73.86925318899995 40.745331527000076),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Queens,Sergeant Paul Michael Ferrara Way,,At the northeast corner of 95th Street and 43rd Avenue,11373,Moya,"Paul Ferrara joined the New York City Police Department in June 1992, and began his career on patrol in the 81st Precinct located in Brooklyn. Immediately after the tragedy on September 11, 2001, he was assigned to Ground Zero for the recovery efforts an",
POINT (-73.93168126899997 40.74465765200006),Int. No. 437-A,06/03/2003,2003,2003/034,Intersection,Queens,Rawson Street,,The intersection of Queens Boulevard and 33rd Street,11101,Gioia,"This street reflects the historic name of the 33rd Street and Queens Boulevard in Sunnyside, Queens.  Many Sunnyside business and residents use the old names, and without the historic street names on the signposts, and in the train stations along the num",
POINT (-73.74096983799996 40.69533659000007),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Queens,Margie Boyd Way,,At the southeast corner of 219th Street and Linden Boulevard,11411,Miller,"Margie Boyd was the Co-Pastor and First Lady of the New Greater Bethel Ministries located in Queens, New York. She served as the head of the Bethel Christian School, the food pantries and the Women’s Department where she worked with over 2,300 young wo",
POINT (-73.90849734399995 40.893564722000065),Int. No. 1227,08/03/2016,2016,2016/092,Intersection,Bronx,Grace Belkin Way,,At the intersection of West 246th Street and Henry Hudson Parkway,10471,Cohen,"Grace Belkin was the first District Manager of Bronx Community Board 8 (CB 8).  Upon the establishment of the current community board system in the late 1970’s, she became one of the first to serve in the capacity of a professional manager. She remaine",
POINT (-73.89289184399996 40.770427735000055),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Brooklyn,Angelo “Chubby” Campanella,,At the southwest corner of 77th Street and 21st Avenue,11370,Greenfield,Angelo Campanella served in the United States Army for 2 years during WWII.  He later became a celebrated ice cream vendor and a mainstay of the Bensonhurst community and served generations of Brooklynites over the course of 50 years.  He served as t,
POINT (-73.94838916799995 40.81392472500005),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Manhattan,"William Atmore Byrd, Sr. Place",,At the intersection of West 131st Street and Frederick Douglass Boulevard,10027,Perkins,"William Atmore Byrd, Sr. served in the United States Army as a private during WWII and later became the founder and former president of the 131st Street Block Association.  He established numerous extra-curricular activities for children around 131st Str",
POINT (-74.02565271299994 40.62211439400005),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Brooklyn,Firefighter Michael G. Behette 9/11 Memorial Way,None,At the intersection of 85th Street and Fifth Avenue,11209,Gentile,"Michael G. Behette joined Ladder 172 Engine 330 on September 5, 1981.  He received many medals and commendations for his work as a New York City Firefighter.  After 9/11, he started working at Ground Zero to recover his fallen brothers and fellow America",
POINT (-73.74031780899998 40.70390529100007),Int. No. 388,07/09/2014,2014,2014/034,Intersection,Queens,Rev. Charlie W. Mixon Way,,At both intersections of Springfield Boulevard and 113th Avenue,11429,Miller,"Rev. Charles Mixon was pastor of the Maranatha Baptist Church, which he founded and built into an institution for 27 years.   When he started the church, there were seven members, and that including himself and his wife.  Today, there are approximately 1",
POINT (-73.94547002099995 40.82840310900008),Int. No. 1045-A,07/01/2013,2013,2013/050,Intersection,Manhattan,Firefighter James Ruane Way,,the 500 block of West 150th Street,10031,Jackson,James Ruane was killed in the line of duty at a fire at 535 West 150th Street.,
POINT (-74.22987107899996 40.545976205000045),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Staten Island,Peter Catello Way,,At the southwest corner of Arthur Kill Road and Industrial Loop West,10309,Borelli,"Peter N. Catello was the owner of Catello Electrical Contracting for almost 50 years, and worked for six months as an electrician at the Fresh Kills Recovery site, working day and night to maintain the electrical and lights for the recovery operation. He",
POINT (-73.76171881899995 40.69519026100005),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Queens,Rev. Walter A. & Doris L. Jones Way,,At the northside of 115th Road and Farmers Boulevard,11412,Miller,"Reverend Walter A. Jones, Sr. (September 6, 1924 – April 7, 2017) became active in the church at a young age.  He started as a Sunday School Teacher and was elevated to the Superintendent of the Sunday School.  He was a World War II Veteran with an Hon",
POINT (-73.91738517899995 40.84411916000005),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Bronx,Naimah Bilal Way,,At the intersection of Macombs Road and Goble Place,10452,Gibson,"Naimah Bilal was a lifelong, tireless community advocate born and raised in Harlem, NY. She began her community involvement at an early age under the leadership of other prominent community members, who marched for the construction of an overpass for the",
POINT (-73.94524838499996 40.813531510000075),Int. No. 849,08/10/2015,2015,2015/076,Intersection,Manhattan,Leonard Harper Way,,At the southeast corner of West 132nd Street and Adam Clayton Powell Jr. Boulevard,10027,Dickens,"Leonard Harper was a producer and choreographer during the Harlem Renaissance in the 1920’s and 1930’s.  In 1914, at 14-years old, he became one of the first “Motion Picture Posers” among black performers, dancing in silent motion pictures for th",
POINT (-73.82710470499995 40.761652008000056),Int. No. 590-A,07/11/2011,2011,2011/047,Intersection,Queens,Macedonia A.M.E. Church Way,,At the intersection of Union Street and 38th Avenue,11354,Koo,This street sign will commemorate the 200th Anniversary of the church.,
POINT (-74.03716394699995 40.63595605000006),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Brooklyn,Ralph J. Perfetto Sr. Drive,,At the intersection of Shore Road and 72nd Street,11209,Brannan,"Ralph Perfetto was very active in the Coney Island community. He was instrumental in saving the Italian residential section of Coney Island from urban renewal destruction in the 1960s. His confrontations with Borough President Abe Stark, and Planning Com",
POINT (-73.84575569699996 40.879503389000035),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Ludie Brown Way,,At the intersection of Kingsland Avenue and Chester Street,10469,Riley,Ms. Ludie Brown was a community activist for over 50 years. Ms. Brown passed last year during the pandemic. Ms. Brown was a community activist who served her community in various ways. Ms. Brown was the President of the Kingsland Avenue Block Association,
POINT (-73.85451981599994 40.84876929600006),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Bronx,Daniel C. Cestaro Way,At the intersection of Morris Park Avenue and Hone Avenue,At the intersection of Morris Park Avenue and Hone Avenue,10461,Gjonaj,"Daniel C. Cestaro was a veteran during the Korean War 1950-1953 and businessman who was the owner of Cestaro furniture located on Morris Park Avenue since the 1960’s. In 1973, he was one of the original founders of the Morris Park Community Association",
POINT (-73.96139603799998 40.62518199900006),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Brooklyn,Domenico ‘Dom’ DeMarco Way,,At the intersection of Avenue J and East 15th Street,11230,Brannan,"Domenico ‘Dom’ DeMarco was the owner of Di Fara Pizza since its opening in 1965. Di Fara Pizza was consistently listed as one of the City’s top establishments for pizza, specifically by food critics. He expanded the brand to locations in Williamsbu",
POINT (-73.95951265299993 40.59455066900006),Int. No. 1217,12/30/2013,2013,2013/154,Intersection,Brooklyn,John E. Nikas Way,,At the intersection of East 12th Street and Gravesend Neck Road,11223,Nelson,"John Nikas worked for New York State for a number of years.  He was very involved with the Three Hierarchs Greek Orthodox Church where he helped set up a youth program under the auspices of HANAC, a Hellenic Greek organization which oversaw its operation",
POINT (-73.89294220799997 40.77378423000005),Int. No. 289-A,05/23/2006,2006,2006/013,Intersection,Queens,Avenue of the Boldest,,Corner of 19th Avenue and Hazen Street,11370,Vallone Jr.,This road leads to the Rikers Island Correctional Facility and it is in honor of all Correctional Officers who keep that Correctional Facility safe.,
POINT (-74.09242397599996 40.64434537100004),Int. No. 613,05/09/2005,2005,2005/043,Intersection,Staten Island,Christ Church Way,,SW corner of Franklin Avenue and Fillmore Street,10301,McMahon,"The parish of Christ Church New Brighton was founded in 1849.  The first Rector was the Rev. Pierre Paris Irving, a nephew of Washington Irving.  Designed by Philadelphia architect Isaac Pursell, noted for his churches, the present Christ Church building",
POINT (-74.01154757399996 40.616344894000065),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Brooklyn,Frank J. Santo Way,,At the southwest corner of 82nd Street and 13th Avenue,11228,Gentile,"Frank J. Santo served in the United States Marine Corp. as a Lance Corporal and later became a successful attorney practicing law for over 50 years.  As a District Leader, he, with other elected officials, raised over a million dollars in aid for victims",
POINT (-74.00217756899997 40.652968342000065),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Brooklyn,Dr. Antonia Pantoja Way,,At the intersection of 36th Street and 5th Avenue,11232,Avilés,"Antonia Pantoja was an educator, social worker, feminist and civil rights leader. She founded ASPIRA in 1961, a non-profit organization that promotes positive self-image and education to Puerto Rican youth in New York City. In 1970, she created and led t",
POINT (-74.06473378399994 40.60008423700003),Int. No. 849,08/10/2015,2015,2015/076,Intersection,Staten Island,Officer Thomas Choi Avenue,,At the intersection of Major Avenue and Lily Pond Road,10305,Matteo,Thomas Choi was a member of the Triborough Bridge and Tunnel Authority Police Department who passed away after being struck by a driver and entering into a coma for over a year. Officer Choi was recognized for his professionalism in handling a specific i,
POINT (-73.94478788299995 40.67053772000003),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Brooklyn,Benny A. Lyde Place,,At the northeast corner of Lincoln Place and Brooklyn Avenue,11213,James,"Benny A. Lyde, a resident of Lincoln Place (age 21 at the time of his death) was shot on September 2, 2005, and later succumbed to his injuries.  Mr. Lyde, a business management and computer science student at Long Island University at the time of his de",
POINT (-74.14957973799994 40.54046913800005),Int. No. 877-A,12/29/2008,2008,2008/064,Intersection,Staten Island,James “Pop” Colon Way,,At the intersection of King Street and Osborne Avenue,10308,Ignizio,"James Colon was a Korean War veteran who served in the United States Navy from 1951-1954.  He served as a decorated member of the FDNY for more than 30 years, completing his career as a Fire Marshal.  His work at local Staten Island firehouses, as well a",
POINT (-73.90852098099998 40.85381500500006),Int. No. 1449-A,03/18/2017,2017,2017/045,Intersection,Bronx,Antonia Vasquez Way,,At the intersection of Davidson Avenue and Burnside Avenue,10453,Cabrera,"Antonia Vasquez was the founder of the Davidson Community Center with the help of five community volunteers and local elected officials.  The Davidson Community Center provides information and referrals for health care, housing and legal assistance, prov",
POINT (-74.03595398799996 40.638820990000056),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Brooklyn,Dominick Della Rocca Way,,At the intersection of 69th Street and Shore Road,11220,Brannan,"Dominick Della Rocca was a long-time business owner in Bay Ridge operating Della Rocca’s restaurant. He was also the leader of an organization which began as the Locality Mayors and grew into being The Community Mayors, a not for profit, non-political",
POINT (-73.78812877199994 40.69237116000005),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Queens,Bishop Roderick R. Caesar Sr. Way,,At the intersection of Guy R. Brewer Boulevard and 110th Road,11433,Comrie,"Roderick R. Caesar was born in St. Lucia, West Indies.  He Joined the United States Army in 1919 and later joined the Harlem Pentecostal Church where he was taught the Word of God.  He became a deacon and taught Sunday School and was ordained an Elder.",
POINT (-73.89099802499999 40.74896714800008),Int. No. 877-A,12/29/2008,2008,2008/064,Intersection,Queens,Corporal Jonathan Rivadeneira Corner,,At the northwest corner of 75th Street and 37th Avenue,11372,Sears and Monserrate,"Corporal Jonathan Rivadeneira was a medic in the United States Army and was killed in a road-side bombing on September 14, 2007, while on patrol 60 miles north of Baghdad.",
POINT (-73.84884478199996 40.68816819400007),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Queens,Crossing Guard Krystyna Naprawa Lane,,At the intersection of Atlantic Avenue and Woodhaven Boulevard,11421,Ariola,Krystyna Naprawa served as a crossing guard for 13 years.  She died in the line of duty when she was struck and killed by a truck while directing traffic outside of a Queens elementary school.,
POINT (-74.12193571899996 40.611687793000044),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Staten Island,"Major Walter M. Murphy, Jr. Way",,At the southwest corner of Windsor Road and Manor Road,10314,Rose,"Walter M. Murphy, Jr. was killed in action in Vietnam.  He was posthumously awarded the Silver Star Medal.",
POINT (-73.99523519999997 40.683732160000034),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Brooklyn,D’Amico Way,,At the intersection of Degraw Street and Court Street,11231,Hanif,"In the early part of 1948, Emanuele D’Amico rented a storefront at 309 Court Street, which he later purchased in Red Hook, Brooklyn, which became known for serving coffee and gourmet foods. With an old-fashioned manual roaster Emanuele roasted the fine",
POINT (-73.75422246499994 40.693871124000054),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Queens,Halvor A. James Way,,At the southeast corner of 198th Street and Linden Boulevard,11412,Miller,"Halvor A. James served in the United States Army as a Commissioned Officer-First Lieutenant and later earned a worked 32 years for the City of New York Department of Social Services. He was also very active in the National Association of Social Workers,",
POINT (-74.13593440399995 40.62507946300008),Int. No. 281-A,05/05/2004,2004,2004/008,Intersection,Staten Island,Edward R. Stanzione Place,,the northwest corner of the intersection of Forest Avenue and Bennet Avenue,10302,McMahon,"Edward Stanzione was a lifelong West Brighton, Staten Island resident.  He served as an aviation airman first class for four years during the Korean Way in the United States Navy.  In 1958, he married Stephanie Greco, with whom his friends had set him up",
POINT (-74.09808266599998 40.64178880500003),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Staten Island,Monsignor Vincent Bartley Way,,At the southeast corner of Clinton Avenue and Cassidy Place,10301,Rose,Monsignor Vincent Bartley was a spiritual leader who served Staten Island communities for decades. He served as a Christian missionary in Nigeria with the African Mission Society before immigrating to New York. He served as pastor at St. Paul’s R.C. Ch,
POINT (-73.93379032299998 40.76285549600004),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Queens,Lt. Paramedic Edith Elida Torres Way,,At the northeast corner of 21st Street and 34th Avenue,11106,Constantinides,"Edith Elida Torres served as a paramedic for 23 years, as saving lives was the only calling she ever had. Like many of her fellow Bravest and Best, she rushed to the World Trade Center despite being off duty on the morning of September 11, 2001. She spen",
POINT (-73.92284095899998 40.689938991000076),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Brooklyn,Archbishop Roy E. Brown Way,,At the intersection of Broadway and Linden Street,11221,Ampry-Samuel,"At the age of thirteen, Archbishop Roy E. Brown and his family moved to New York where he completed his education at the John Jay High School. It was there that his gift for singing was discovered. He began formal training in voice (opera) and music. At",
POINT (-73.83977302999995 40.69818799900003),Int. No. 1033,07/17/2009,2009,2009/046,Intersection,Queens,Nancy Cataldi Way,,At the intersection of 109th Street and 86th Avenue,11418,Crowley,"Nancy Cataldi was a life-long Richmond Hill resident and co-founder of the Richmond Hill Historical Society.  She was a cultural historian and active preservationist for the Victorian era homes in Richmond Hill, Woodhaven and Kew Gardens.  She succeeded",
POINT (-73.72610880699995 40.73342279600007),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Queens,5th Bombardment Squadron Memorial Way,,At the intersection of Hillside Avenue and 239th Street,11426,Grodenchik,"5th Bombardment Squadron was a bomber squadron based in Mitchel Field on Long Island. In the early morning of June 17, 1940, two Army B-18 bombers took off from Mitchel Field on for training drills. At 8:49 a.m., while the planes were flying at approxima",
POINT (-73.91845496099995 40.87299401400003),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Manhattan,John Brian Murtaugh Way,,At the intersection of Indian Road and 218th Street,10034,Rodriguez,"John Brian Murtaugh was a Mariner, New York State Supreme Court Drug Specialist, and a State Assemblyman for 16 years. He spent most of his life living in Inwood, New York City, and was dedicated to serving his community. John graduated from Elmira Free",
POINT (-73.91685460399998 40.82218215900008),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Russell M. Alston Way,,At the intersection of Courtlandt Avenue and 157th Street,10451,Salamanca,"Russell Alston was very involved with the church and his community. He was a resident and staffer at NYCHA Section 3 and took great pride in making his development a better place, advancing upgrades during the 1990s to improve the quality of life. He w",
POINT (-73.97534402699995 40.74126599400006),Int. No. 1103-A,12/28/2009,2009,2009/092,Intersection,Manhattan,Dr. Saul J. Farber Way,,At the intersection of East 30th Street and First Avenue,10016,Mendez,"Dr. Saul J. Farber was a recognized leader in medical education, clinical research and medical school administration who profoundly influenced and shaped public health in New York City and mentored generations of physicians throughout the world.  For ove",
POINT (-73.93934280999997 40.81341386500003),Int. No. 877-A,12/29/2008,2008,2008/064,Intersection,Manhattan,Ella Baker Terrace,,Lenox Terrace at 135th Street,10037,Dickens,"Ella Baker, a long time resident of Harlem, organized the 1960 meeting out of which the Student Nonviolent Coordinating Committee (SNCC) arose and was a coordinator of the Freedom Riders.  Her ideas on group-centered organizing and direct action largely",
POINT (-74.13175391699997 40.64023434500007),Int. No. 1054,02/25/2016,2016,2016/023,Intersection,Staten Island,Robert S. Farrell and Donald H. Farrell Way,,At the southwest corner of Port Richmond Avenue and Richmond Terrace,10302,Rose,"Robert Farrell was the owner of the H.S. Farrell Lumber Co. and an activist in Staten Island businesses and civic circles.  His uncle, Alvin Conklin, started the family lumber business in Port Richmond in 1888.  Robert Farrell came to own the firm, which",
POINT (-74.07921356999998 40.601339547000066),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Louis C. Antonelli Way,,At the intersection of Allendale Road and West Fingerboard Road,10305,Matteo,"Louis C. Antonelli volunteered at PS.48 where he assisted with various fundraisers, including the Cancer Foundation at Staten Island Hospital North and various local political campaigns. He was a Hospitality Minister at Holy Rosary Church for about 25 ye",
POINT (-73.84386807999994 40.577584159000025),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Queens,Linda Ruscillo Way,,At the intersection of 124th Street and Rockaway Beach Boulevard,11694,Ariola,Linda Ruscillo was a community activist who always spearheaded helping others. She was active in the Rockaway community for over 20 years. She initiated a youth committee attached to the 100th Precinct Community Council and became the corresponding sec,
POINT (-74.09522862799997 40.588925000000074),Int. No. 289-A,05/23/2006,2006,2006/013,Intersection,Staten Island,Diego “Dickie” Palemine Corner,,Corner of Hancock Street and Garretson Avenue,10305,Oddo,"Diego “Dickie” Palemine was born in 1944 and was a lifelong resident of Dongan Hills, Staten Island. He was the beloved husband of Catherine and father to Cathy Ann, Eleanor, Michelle and Diego. Diego Palemine began his career as a police officer in",
POINT (-73.95607248799996 40.65238739900008),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Brooklyn,Darius Elijah Roache Way,,At the intersection of Caton Avenue and Bedford Avenue,11226,Joseph,"Darius Elijah Roache graduated from Parkside Preparatory Academy in May 2020, and continued his education at Clara Barton High School where he was well received and respected by his peers and teachers. He was shot and killed inside of an apartment buildi",
POINT (-73.77727898499995 40.69212201500005),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Queens,Rev. Robert Ross Johnson Boulevard,,At the intersection of Linden Boulevard and Marne Place,11434,Williams,"Rev. Robert Ross Johnson was a leading clergyman in Queens for nearly four decades and a former chaplain for the New York City Department of Correction. He was the founding pastor of the St. Albans Congregational Church, which was established in 1953. Th",
POINT (-73.93989779699996 40.841111358000035),Int. No. 849,08/10/2015,2015,2015/076,Intersection,Manhattan,Albert Blumburg Way,,At the intersection of 168th Street and Broadway,10032,Rodriguez,"Albert Blumberg was a professor and department chairman for the Philosophy Department at Rutgers University. He was known, among his university colleagues as someone committed to helping others. He served as President of Audubon Reform Democratic Club an",
POINT (-73.74558809899997 40.67787523700008),Int. No. 342-A,02/18/2003,2003,2003/014,Intersection,Queens,Michelle Middleton Bond Square,,The four corners of the intersection of Merrick Boulevard and 224th Street,11413,Sanders,"Michelle Middleton-Bond was born in Brooklyn, the second daughter of James and Alice “Virgie” Middleton.  Michelle, who held three college degrees, commenced her educational career in the public and private schools of Brooklyn.  At an early age, Mich",
POINT (-73.89644720599995 40.66280490300005),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Brooklyn,Winchester Key Way,,At the intersection of Alabama Avenue and Riverdale Avenue,11207,Banks,"Winchester Key was a prominent figure in the East New York community for over four decades, serving as the president of the 75th Precinct Community Council of the NYPD, Community Planning Board 5, Community School Board District 19 and the Lions Club. As",
POINT (-74.10048852399996 40.61354017600007),Int. No. 1744,12/01/2017,2017,2017/237,Intersection,Staten Island,Honorable Louis R. Jerome Way,,At the northeast corner of Foote Avenue and Clove Road,10301,Rose,Louis R. Jerome was a retired judge for the New York State Workers' Compensation Board and a World War II veteran.  He was drafted into the United States Navy as he graduated from William L. Dickinson High School in Jersey City. In just two years of serv,
POINT (-73.87617425899998 40.70421822600008),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Queens,Police Officer Anthony Mosomillo Way,,At the intersection of 73rd Place and 78th Avenue,11385,Ariola,Anthony Mosomillo served with the NYPD for 14 years and was assigned to the 67th Precinct in Brooklyn. He was killed in the line of duty while attempting to serve a bench warrant on a parolee who failed to appear in court.,
POINT (-73.87663349899998 40.82178791200005),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Bronx,Sarah Wynn Way,,At the intersection of Boynton Avenue and Story Avenue,10473,Farías,"Sarah Wynn was a community leader, building president of 880 Boynton Avenue and was the longest running president of the Lafayette Estates Tenants Association where she worked with NYPD, Sanitation, local elected officials to improve services for tenants",
POINT (-73.74846434899996 40.71539628800008),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Reverend Laura G. Lowery Way,,At the intersection of Jamaica Avenue and Hollis Court Boulevard,11429,Grodenchik,Laura Lowery received a Bachelor’s degree in Sociology from Bard College and later received a Master’s degree in social work from New York University.  She began her career in social work at the New York City Hospital Association.  She also worked,
POINT (-74.09069745499994 40.63851336700003),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Staten Island,Joanne K. Caputo Court,,the southeast corner of the intersection of Franklin Avenue and Arnold Street,10301,McMahon,"Native Staten Islander Joanne Caputo, 50, of New Brighton, a former keypunch operator, bookkeeper and cashier dies in St. Vincent’s Hospital, West Brighton after a three year battle with breast cancer.  She grew up in West Brighton and settled in New B",
POINT (-74.07787970899994 40.64161922100004),Int. No. 1054,02/25/2016,2016,2016/023,Intersection,Staten Island,Roberta (Bobbie) Jacobowitz Way,,At the intersection of St. Mark’s Place and Hyatt Street,10301,Rose,"Roberta Jacobowitz was a former executive director of the Downtown Staten Island Council and a driving force behind St. George's Greenmarket.  From 1955 to 1976, she owned and operated Casual Corner, which then became Casual Closet, a woman's clothing st",
POINT (-73.95284125599994 40.69730302200003),Int. No. 877-A,12/29/2008,2008,2008/064,Intersection,Brooklyn,Syl Williamson Way,,At the northeast corner of Nostrand Avenue and Park Place,11206,Vann,"Syl Williamson was a longtime community activist, a businessman and an African-American Historian. He was considered an inspiration to young people in his community.",
POINT (-73.88932843399994 40.85345103700007),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Bronx,Joe Liberatore Way,,At the intersection of Arthur Avenue and Crescent Avenue,10458,Torres,Joe Liberatore began his street vendor career in the 1930’s and became the last of the original 117 food merchants who first opened in the 1940 at the public retail market in the Bronx when Mayor La Guardia planned to remove the city’s thousands of p,
